num = 33, ma = 10, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 20
num = 33, ma = 10, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 20
num = 33, ma = 10, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 25
num = 33, ma = 10, rate = 0.005000, multiple = 2.000000, reaction = 5, last = 30
num = 33, ma = 10, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 20
num = 33, ma = 10, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 25
num = 33, ma = 10, rate = 0.005000, multiple = 2.000000, reaction = 10, last = 30
num = 24, ma = 10, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 20
num = 24, ma = 10, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 25
num = 24, ma = 10, rate = 0.005000, multiple = 2.500000, reaction = 5, last = 30
num = 24, ma = 10, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 20
num = 24, ma = 10, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 25
num = 24, ma = 10, rate = 0.005000, multiple = 2.500000, reaction = 10, last = 30
num = 20, ma = 10, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 20
num = 20, ma = 10, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 25
num = 20, ma = 10, rate = 0.005000, multiple = 3.000000, reaction = 5, last = 30
num = 20, ma = 10, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 20
num = 20, ma = 10, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 25
num = 20, ma = 10, rate = 0.005000, multiple = 3.000000, reaction = 10, last = 30
num = 12, ma = 10, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 20
num = 12, ma = 10, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 25
num = 12, ma = 10, rate = 0.006000, multiple = 2.000000, reaction = 5, last = 30
num = 12, ma = 10, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 20
num = 12, ma = 10, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 25
num = 12, ma = 10, rate = 0.006000, multiple = 2.000000, reaction = 10, last = 30
num = 8, ma = 10, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 20
num = 8, ma = 10, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 25
num = 8, ma = 10, rate = 0.006000, multiple = 2.500000, reaction = 5, last = 30
num = 8, ma = 10, rate = 0.006000, multiple = 2.500000, reaction = 10, last = 20
num = 8, ma = 10, rate = 0.006000, multiple = 2.500000, reaction = 10, last = 25
num = 8, ma = 10, rate = 0.006000, multiple = 2.500000, reaction = 10, last = 30
num = 5, ma = 10, rate = 0.006000, multiple = 3.000000, reaction = 5, last = 20
num = 5, ma = 10, rate = 0.006000, multiple = 3.000000, reaction = 5, last = 25
num = 5, ma = 10, rate = 0.006000, multiple = 3.000000, reaction = 5, last = 30
num = 5, ma = 10, rate = 0.006000, multiple = 3.000000, reaction = 10, last = 20
num = 5, ma = 10, rate = 0.006000, multiple = 3.000000, reaction = 10, last = 25
num = 5, ma = 10, rate = 0.006000, multiple = 3.000000, reaction = 10, last = 30
num = 6, ma = 10, rate = 0.007000, multiple = 2.000000, reaction = 5, last = 20
num = 6, ma = 10, rate = 0.007000, multiple = 2.000000, reaction = 5, last = 25
num = 6, ma = 10, rate = 0.007000, multiple = 2.000000, reaction = 5, last = 30
num = 6, ma = 10, rate = 0.007000, multiple = 2.000000, reaction = 10, last = 20
num = 6, ma = 10, rate = 0.007000, multiple = 2.000000, reaction = 10, last = 25
num = 6, ma = 10, rate = 0.007000, multiple = 2.000000, reaction = 10, last = 30
num = 4, ma = 10, rate = 0.007000, multiple = 2.500000, reaction = 5, last = 20
num = 4, ma = 10, rate = 0.007000, multiple = 2.500000, reaction = 5, last = 25
num = 4, ma = 10, rate = 0.007000, multiple = 2.500000, reaction = 5, last = 30
num = 4, ma = 10, rate = 0.007000, multiple = 2.500000, reaction = 10, last = 20
num = 4, ma = 10, rate = 0.007000, multiple = 2.500000, reaction = 10, last = 25
num = 4, ma = 10, rate = 0.007000, multiple = 2.500000, reaction = 10, last = 30
num = 3, ma = 10, rate = 0.007000, multiple = 3.000000, reaction = 5, last = 20
num = 3, ma = 10, rate = 0.007000, multiple = 3.000000, reaction = 5, last = 25
num = 3, ma = 10, rate = 0.007000, multiple = 3.000000, reaction = 5, last = 30
num = 3, ma = 10, rate = 0.007000, multiple = 3.000000, reaction = 10, last = 20
num = 3, ma = 10, rate = 0.007000, multiple = 3.000000, reaction = 10, last = 25
num = 3, ma = 10, rate = 0.007000, multiple = 3.000000, reaction = 10, last = 30
num = 5, ma = 10, rate = 0.008000, multiple = 2.000000, reaction = 5, last = 20
num = 5, ma = 10, rate = 0.008000, multiple = 2.000000, reaction = 5, last = 25
