num = 5769, ma = 10, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 5769, ma = 10, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 5769, ma = 10, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 5769, ma = 10, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 5769, ma = 10, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 5769, ma = 10, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
num = 1071, ma = 10, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 1071, ma = 10, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 1071, ma = 10, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 1071, ma = 10, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 1071, ma = 10, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 1071, ma = 10, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 276, ma = 10, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 276, ma = 10, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 276, ma = 10, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 276, ma = 10, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 276, ma = 10, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 276, ma = 10, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 86, ma = 10, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 86, ma = 10, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 86, ma = 10, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 86, ma = 10, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 86, ma = 10, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 86, ma = 10, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
num = 5650, ma = 15, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 5650, ma = 15, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 5650, ma = 15, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 5650, ma = 15, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 5650, ma = 15, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 5650, ma = 15, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
num = 1076, ma = 15, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 1076, ma = 15, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 1076, ma = 15, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 1076, ma = 15, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 1076, ma = 15, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 1076, ma = 15, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 277, ma = 15, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 277, ma = 15, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 277, ma = 15, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 277, ma = 15, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 277, ma = 15, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 277, ma = 15, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 88, ma = 15, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 88, ma = 15, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 88, ma = 15, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 88, ma = 15, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 88, ma = 15, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 88, ma = 15, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
num = 5143, ma = 20, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 5143, ma = 20, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 5143, ma = 20, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 5143, ma = 20, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 5143, ma = 20, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 5143, ma = 20, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
num = 1004, ma = 20, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 20
num = 1004, ma = 20, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 25
num = 1004, ma = 20, rate = 0.002000, multiple = 2.000000, reaction = 5, last = 30
num = 1004, ma = 20, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 20
num = 1004, ma = 20, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 25
num = 1004, ma = 20, rate = 0.002000, multiple = 2.000000, reaction = 10, last = 30
num = 254, ma = 20, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 20
num = 254, ma = 20, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 25
num = 254, ma = 20, rate = 0.003000, multiple = 2.000000, reaction = 5, last = 30
num = 254, ma = 20, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 20
num = 254, ma = 20, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 25
num = 254, ma = 20, rate = 0.003000, multiple = 2.000000, reaction = 10, last = 30
num = 81, ma = 20, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 20
num = 81, ma = 20, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 25
num = 81, ma = 20, rate = 0.004000, multiple = 2.000000, reaction = 5, last = 30
num = 81, ma = 20, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 20
num = 81, ma = 20, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 25
num = 81, ma = 20, rate = 0.004000, multiple = 2.000000, reaction = 10, last = 30
num = 4853, ma = 25, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 20
num = 4853, ma = 25, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 25
num = 4853, ma = 25, rate = 0.001000, multiple = 2.000000, reaction = 5, last = 30
num = 4853, ma = 25, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 20
num = 4853, ma = 25, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 25
num = 4853, ma = 25, rate = 0.001000, multiple = 2.000000, reaction = 10, last = 30
