num = 20539, ma = 10, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 20539, ma = 10, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 25
num = 20539, ma = 10, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 20539, ma = 10, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 20539, ma = 10, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 20539, ma = 10, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 9230, ma = 10, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 9230, ma = 10, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 9230, ma = 10, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 9230, ma = 10, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 9230, ma = 10, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
num = 9230, ma = 10, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 30
num = 19605, ma = 15, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 19605, ma = 15, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 25
num = 19605, ma = 15, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 19605, ma = 15, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 19605, ma = 15, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 19605, ma = 15, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 8208, ma = 15, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 8208, ma = 15, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 8208, ma = 15, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 8208, ma = 15, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 8208, ma = 15, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
num = 8208, ma = 15, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 30
num = 18121, ma = 20, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 18121, ma = 20, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 25
num = 18121, ma = 20, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 18121, ma = 20, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 18121, ma = 20, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 18121, ma = 20, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 7332, ma = 20, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 7332, ma = 20, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 7332, ma = 20, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 7332, ma = 20, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 7332, ma = 20, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
num = 7332, ma = 20, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 30
num = 17499, ma = 25, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 17499, ma = 25, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 25
num = 17499, ma = 25, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 17499, ma = 25, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 17499, ma = 25, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 17499, ma = 25, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 6854, ma = 25, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 6854, ma = 25, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 6854, ma = 25, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 6854, ma = 25, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 6854, ma = 25, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
num = 6854, ma = 25, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 30
num = 16792, ma = 30, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 16792, ma = 30, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 25
num = 16792, ma = 30, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 16792, ma = 30, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 16792, ma = 30, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 16792, ma = 30, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 6381, ma = 30, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 6381, ma = 30, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 6381, ma = 30, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 6381, ma = 30, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 6381, ma = 30, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
num = 6381, ma = 30, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 30
num = 16350, ma = 35, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 16350, ma = 35, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 25
num = 16350, ma = 35, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 30
num = 16350, ma = 35, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 20
num = 16350, ma = 35, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 25
num = 16350, ma = 35, rate = 2.000000, multiple = 2.000000, reaction = 10, last = 30
num = 5940, ma = 35, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 5940, ma = 35, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 25
num = 5940, ma = 35, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 30
num = 5940, ma = 35, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 20
num = 5940, ma = 35, rate = 3.500000, multiple = 2.000000, reaction = 10, last = 25
