num = 20539, ma = 10, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 15679, ma = 10, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 12139, ma = 10, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 9230, ma = 10, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 19605, ma = 15, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 14767, ma = 15, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 10828, ma = 15, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 8208, ma = 15, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 18121, ma = 20, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 13632, ma = 20, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 10138, ma = 20, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 7332, ma = 20, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 17499, ma = 25, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 13068, ma = 25, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 9583, ma = 25, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 6854, ma = 25, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 16792, ma = 30, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 12471, ma = 30, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 8879, ma = 30, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 6381, ma = 30, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 16350, ma = 35, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 11950, ma = 35, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 8657, ma = 35, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 5940, ma = 35, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 15817, ma = 40, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 11634, ma = 40, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 8376, ma = 40, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 5847, ma = 40, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 15467, ma = 45, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 11255, ma = 45, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 8007, ma = 45, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 5602, ma = 45, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
num = 14992, ma = 50, rate = 2.000000, multiple = 2.000000, reaction = 5, last = 20
num = 10951, ma = 50, rate = 2.500000, multiple = 2.000000, reaction = 5, last = 20
num = 7789, ma = 50, rate = 3.000000, multiple = 2.000000, reaction = 5, last = 20
num = 5402, ma = 50, rate = 3.500000, multiple = 2.000000, reaction = 5, last = 20
